biome * ffffff ffffff ffffff
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 178 184220 314d31 314d31
biome 179 1b3944 314d31 314d31
biome 180 1b3944 314d31 314d31
biome 181 184220 314d31 314d31
biome 182 485e18 314d31 314d31
biome 183 485e18 314d31 314d31
biome 184 3a2f0b 314d31 314d31
biome 187 ffffff 7bc152 5bb027
biome 189 ffffff 7bc152 5bb027
biome 190 ffffff 7bc152 5bb027
biome 192 ffffff 7bc152 5bb027
biome 193 ffffff 7bc152 5bb027
biome 194 ffffff 7bc152 5bb027
biome 195 ffffff 7bc152 5bb027
biome 196 ffffff 7bc152 5bb027
biome 197 ffffff 7bc152 5bb027
biome 198 ffffff 7bc152 5bb027
biome 200 ffffff 8eb971 71a74d
biome 202 ffffff 7bc152 5bb027
biome 203 ffffff 7bc152 5bb027
biome 204 ffffff 7bc152 5bb027
biome 205 ffffff 7bc152 5bb027
biome 206 ffffff 7bc152 5bb027
biome 207 ffffff 7bc152 5bb027
biome 232 ffffff b2b762 9ea43b
biome 233 ffffff b2b762 9ea43b
biome 237 70db70 a0b676 87a353
biome 240 ffff66 eebbcc 71a74d
biome 241 ffff66 8eb971 71a74d
biome 242 ffff66 eeaabb 71a74d
biome 243 ffff66 eeaabb 71a74d
biome 244 ffff66 ffddee 71a74d
biome 245 ffff66 ffbbcc 71a74d
biome 246 ffff66 ffffff 71a74d
biome 247 ff6655 b35eff 71a74d
biome 248 ffff66 a376da 71a74d
biome 249 ffee33 b05c28 71a74d
biome 250 ffffff ffffff 71a74d
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b32f44f4
block 9 * b32f44f4
block 10 * ffd1530e
block 11 * ffd1530e
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff665131
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 7 ff57431a
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 11 ff57431a
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 17 15 ff57431a
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffb6b639
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ff8e1616
block 26 8 ffaf7474
block 26 9 ffaf7474
block 26 10 ffaf7474
block 26 11 ffaf7474
block 26 12 ffaf7474
block 26 13 ffaf7474
block 26 14 ffaf7474
block 26 15 ffaf7474
block 27 * ab846c48
block 27 8 ab9a6846
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 85d48d31
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * c05a0cc1
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 * 46daf0f4
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * c05a0cc1
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 * ff535353
block 166 * ffa31c1c
block 167 * ff6a4e33
block 167 1 ff656565
block 167 2 ffbcbcbc
block 167 3 ff791212
block 168 * 1770829a
block 169 * 118d9958
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ff7c007c
block 177 * ffa09486
block 177 0 ff9b8f7e
block 177 1 ff9d9183
block 177 2 ff9e9281
block 177 8 ff9b8f7e
block 177 9 ff9d9183
block 177 10 ff9e9281
block 178 * ffaeae9c
block 179 * ffb5b5b5
block 180 * ffadac96
block 181 * ffadac96
block 182 * ff7c007c
block 183 * ff7e4870
block 184 * ff606060
block 189 * ffaeab96
block 190 0 ff8e8887
block 190 4 ff8a7d77
block 190 5 ff868889
block 190 8 ff817d78
block 190 9 ff85898a
block 190 10 ff868685
block 191 * ff000000
block 191 0 ffbdb0ae
block 191 1 ff969696
block 191 2 ffdbdb4f
block 191 3 ff252524
block 191 4 ffb65022
block 191 5 ffb0b6b9
block 191 6 ff49494f
block 191 7 ff985787
block 191 8 ffa47e5b
block 191 9 ff99c3bc
block 191 10 ffbebcb0
block 192 * ff000000
block 192 0 ff9e9391
block 192 1 ff7d7d7d
block 192 2 ffb7b742
block 192 3 ff1f1f1e
block 192 4 ff98431c
block 192 5 ff93989b
block 192 6 ff3d3d42
block 192 7 ff7f4971
block 192 8 ff89694c
block 192 9 ff80a39d
block 192 10 ff9f9d93
block 193 * ffabc3af
block 194 * ffa7bdc2
block 195 * ffc1c1ad
block 196 * ffa9a89d
block 196 0 ff979670
block 196 1 ff9c9a7c
block 196 2 ff9c9a7c
block 196 3 ffa3a28d
block 196 4 ff9c9b7c
block 196 5 ffa09f88
block 196 6 ffa2a18c
block 196 8 ff9b9a7c
block 196 9 ffa2a18d
block 196 10 ffa09f88
block 196 11 ffa9a99d
block 196 12 ffa3a28d
block 196 13 ffaaa99d
block 196 15 ffb2b2b2
block 197 * ffaeae9c
block 198 * 8aaaa7a7
block 199 * ff9aa1a1
block 200 * ffdbdbdb
block 201 * ffdbdbdb
block 202 * ffaeae9c
block 203 * ffaeae9c
block 204 * ffaeae9c
block 205 * ffc9c9c9
block 206 * ff7d3f2a
block 207 * ff9b8f7e
block 207 0 ffa8a495
block 207 1 ffb8b8b8
block 207 2 ff9d9183
block 207 4 ffa09486
block 207 5 ff9e9281
block 207 8 ffa8a495
block 207 9 ffb8b8b8
block 207 10 ff9d9183
block 207 12 ffa09486
block 207 13 ff9e9281
block 208 * ffaeae9c
block 209 * ff431f1f
block 210 * 6fdddddd
block 211 * ffaeae9c
block 212 * ffaeae9c
block 213 * ff576292
block 213 0 ff4c588a
block 213 1 ff4c588a
block 213 2 ff4c588a
block 213 3 ff4c588a
block 214 * 9a265f0c
block 214 0 9a2d8777
block 215 0 715a83a2
block 215 8 715a83a2
block 216 * ffaeae9c
block 217 * ffb2b2b2
block 218 * ffaeae9c
block 219 * ffaeae9c
block 220 * ffaeae9c
block 221 * ffaeae9c
block 222 * ff431f1f
block 225 * ffaeae9c
block 226 * ffaeae9c
block 227 * ff6a665f
block 227 0 ff606060
block 227 1 ff998159
block 227 6 ff998159
block 227 7 ff998159
block 227 8 ff606060
block 227 9 ff606060
block 227 14 ff998159
block 227 15 ff998159
block 228 * ffaeae9c
block 229 * ffaeae9c
block 230 * ffaeae9c
block 231 * ff919987
block 231 0 ff9a9987
block 231 1 ff9a9987
block 231 2 ff9a9987
block 231 3 ff9a9987
block 231 4 ff9a9987
block 231 5 ff9a9987
block 231 6 ff9a9987
block 231 7 ff9a9987
block 232 * ffa3a290
block 233 * ffacab99
block 234 * ff9b9b9b
block 235 * ff979670
block 236 * ff84917f
block 237 * ffaeae9c
block 238 * ff99917c
block 238 1 ff9b9779
block 239 * 13826a3a
block 240 * ff514c51
block 241 * b3747896
block 242 * b3b29d9d
block 243 * b3bab06b
block 244 * b37b88bc
block 245 * ffe7e2c2
block 246 * ff1c1c1c
block 246 0 ff323232
block 246 1 ff323232
block 246 2 ff323232
block 246 3 ff323232
block 247 * 935bb999
block 248 * e1000000
block 248 0 e15c2085
block 248 1 e11a1a85
block 248 2 e1008500
block 248 3 e1851b1b
block 248 4 e185851b
block 248 5 e1854d00
block 249 * ffaeae9c
block 250 * ffaeae9c
block 251 * ff898671
block 252 * ff44446e
block 254 * ff44446e
block 255 * ff7bd67b
block 409 * ffaeae9c
block 410 * ffaeae9c
block 411 * ffaeae9c
block 412 * ffaeae9c
block 413 * ff5b5b49
block 414 * ffc8c8c8
block 415 * ffaeae9c
block 415 1 ffb8b8b8
block 415 9 ffb8b8b8
block 416 * ff44446e
block 423 * ffaeae9c
block 424 * ffaeae9c
block 425 * ff8e1616
block 425 8 ffaf7474
block 425 9 ffaf7474
block 425 10 ffaf7474
block 425 11 ffaf7474
block 425 12 ffaf7474
block 425 13 ffaf7474
block 425 14 ffaf7474
block 425 15 ffaf7474
block 426 * ffdbdbdb
block 427 * ffaeae9c
block 428 * ff000000
block 428 0 ff95a6be
block 428 1 ffb8bfc3
block 429 * c02b61a2
block 430 * ff9d9d9d
block 430 2 ff879493
block 430 3 ff879493
block 431 * ff62767e
block 432 * ff72a684
block 433 * ffa99b41
block 434 * ffbfb157
block 435 * ffccc67b
block 436 * ffb7b9ce
block 437 * a6f2f2f2
block 437 1 cc8cc6fa
block 437 2 ccebd684
block 437 3 beb0e96d
block 437 4 ce46628f
block 438 0 bfba78ff
block 438 1 bfbb7cff
block 438 2 bfc58eff
block 438 3 bfba78ff
block 438 4 bfba78ff
block 438 5 bfbb7cff
block 438 6 bfc58eff
block 438 7 bfba78ff
block 439 * bcc1c7e2
block 440 * ff9d9d9d
block 441 * ff313227
block 442 * ff5a5a42
block 442 0 ff977e4f
block 442 1 ff977e4f
block 442 2 ff977e4f
block 442 3 ff977e4f
block 442 6 ff585536
block 442 7 ff585536
block 442 10 ff585536
block 442 11 ff585536
block 442 14 ff585536
block 442 15 ff585536
block 443 * ff565640
block 444 * a57ea651
block 445 * a5aaab3c
block 446 * 6b62733b
block 447 * 6b898233
block 448 * ffa0a18d
block 449 * 1979783f
block 450 * ff958f9c
block 451 * ffa1929d
block 452 * ff997b90
block 453 * ff787878
block 454 * ff565640
block 455 * ff787878
block 456 * ff737379
block 457 * ff737378
block 458 * ff6e6f7a
block 459 * ffe7e0c7
block 459 0 fff6efd7
block 459 1 fff6efd7
block 459 2 fff6efd7
block 459 3 fff6efd7
block 459 4 ffe0d9c0
block 459 8 ffe0d9c0
block 459 12 ffe0d9c0
block 460 * ff6a6a6a
block 460 0 ff777777
block 460 1 ff777777
block 460 2 ff777777
block 460 3 ff777777
block 461 * ff6e36bb
block 462 * 746f6c80
block 463 * 1dafc0b7
block 464 * 1e65688e
block 465 * ff667516
block 466 * d0617c50
block 467 * c05b643c
block 468 * ff9d9d9d
block 469 * ff879493
block 470 * ffb7b9ce
block 471 * ff565640
block 472 * ff787878
block 473 * ff9d9d9d
block 474 * ff879493
block 475 * ffb7b9ce
block 476 * ff565640
block 477 * ff787878
block 478 * ff8d8d8d
block 479 * ff977e4f
block 480 * a2629474
block 481 * a5547c8b
block 482 * a543a6b3
block 483 * 6b3c6c6a
block 484 * ff565640
block 485 * ff787878
block 486 * a579618d
block 487 * b9786588
block 488 * 6b564a59
block 489 0 316a7d40
block 489 1 5565773e
block 489 2 5b64753f
block 489 3 685e6d3b
block 489 4 b1677941
block 489 5 72676e37
block 489 6 c5727739
block 490 * ffa39b8f
block 491 * 6b485957
block 492 * ff333224
block 493 * ff906f6f
block 494 * ff737378
block 495 * ff737378
block 496 * 7a8cdadd
block 497 * ff787878
block 498 * ff4f4f34
block 499 * ff565640
block 500 * bcc1c7e2
block 501 * ff737379
block 502 * ff8d8d8d
block 503 * ff6e6f7a
block 504 * bcc1c7e2
block 505 * ff737379
block 506 * ff8d8d8d
block 507 * ff6e6f7a
block 508 * 8f5b5a42
block 509 * ff565640
block 510 * ff565640
block 511 * ff67777c
block 511 0 ff3c5c67
block 511 1 ff3c5c67
block 511 2 ff3c5c67
block 511 3 ff3c5c67
block 511 4 ff3c5c67
block 511 5 ff3c5c67
block 511 6 ff3c5c67
block 511 7 ff3c5c67
block 512 * ff55545c
block 513 * db585938
block 514 * ff565640
block 515 * 746f6c80
block 516 * ff878787
block 517 * ff878787
block 518 * 9b1a2731
block 519 * ffdddddd
block 520 * ff888888
block 520 0 ff7e7e7e
block 520 1 ff7e7e7e
block 520 2 ff7e7e7e
block 520 3 ff7e7e7e
block 521 * ff878787
block 521 0 ff818181
block 521 1 ff818181
block 521 2 ff818181
block 521 3 ff818181
